"collect_day","channel_id","name","subscriber","video_count","view_count"
20201203,"UC48jH1ul-6HOrcSSfoR02fQ","Yuhi Riri Official",150000,399,15250172
20201203,"UC6oDys1BGgBsIC3WhG1BovQ","Shizuka Rin Official",308000,931,44646855
20201203,"UCBiqkFJljoxAj10SoP2w2Cg","文野環【にじさんじの野良猫】ふみのたまき",219000,282,17442896
20201203,"UCD-miitqNY3nyukJ4Fnf4_A","月ノ美兎",647000,413,118812173
20201203,"UCeK9HFcRZoTrvqcUCtccMoQ","渋谷ハジメのはじめ支部",111000,968,17227767
20201203,"UCLO9QDxVL4bnvRRsz6K4bsQ","勇気ちひろ",360000,690,60630001
20201203,"UCmUjjW5zF1MMOhYUwwwQv9Q","宇志海いちご",142000,403,9393479
20201203,"UCpnvhOIJ6BN-vPkYU9ls-Eg","鈴谷アキの陽だまりの庭",100000,486,5341781
20201203,"UCsg-YqdqQ-KFF0LNk23BY4A","樋口楓【にじさんじ所属】",358000,522,45918545
20201203,"UCt0clH12Xk1-Ej5PXKGfdPA","♥️♠️物述有栖♦️♣️",217000,385,17719081
20201203,"UCt9qik4Z-_J-rj3bKKQCeHg","アキくんちゃんネル",57800,214,3125059
20201203,"UCtpB6Bvhs1Um93ziEDACQ8g","森中花咲",191000,495,29681382
20201203,"UCUzJ90o1EjqUbk2pBAy0_aw","Gilzaren III Season 2",71700,32,1784982
20201203,"UCv1fFr156jc65EMiLbaLImw","剣持刀也",244000,266,36992687
20201203,"UCvmppcdYf4HOv-tFQhHHJMA","《にじさんじ所属の女神》モイラ",112000,232,7501540
20201203,"UCwokZsOK_uEre70XayaFnzA","鈴鹿詩子 Utako Suzuka",381000,524,67262187
20201203,"UCX7YkU9nEeaoZbkVLVajcMg","にじさんじ",478000,495,147000310
20201203,"UCXU7YYxy_iQd3ulXyO-zC2w","伏見ガク【にじさんじ所属】",105000,232,5112470
20201203,"UCYKP16oMX9KKPbrNgo_Kgag","エルフのえる / にじさんじ所属",177000,563,18475387
20201203,"UC_GCs6GARLxEHxy1w40d6VQ","家長むぎ【にじさんじ所属】",138000,91,3467204
20201204,"UC--A2dwZW7-M2kID0N6_lfA","Chris Channel / 獅子王クリス 【シュガリリ】",25900,171,1205290
20201204,"UC-6Qa_TGe4t_7O0VAA_dt9g","小花てくと",2780,108,36581
20201204,"UC-hM6YJuNYVAmUWxeIr9FeA","Miko Ch. さくらみこ",684000,162,29208798
20201204,"UC-JSeFfovhNsEhftt1WHMvg","NIJISANJI English Official",54000,80,4900696
20201204,"UC-o-E6I3IC2q8sAoAuM6Umg","奈羅花 - Naraka -",110000,168,5487852
20201204,"UC0g1AE0DOjBYnLhkgoRWN1w","本間ひまわり - Himawari Honma -",549000,835,120640789
20201204,"UC0lik9pHju6ONgkBh7N5wHw","Vihaan【NIJISANJI IN】",5900,96,64993
20201204,"UC0Owc36U9lOyi9Gx9Ic-4qg","Haneru Channel / 因幡はねる 【あにまーれ】",221000,1282,41662922
20201204,"UC0TXe_LYZ4scaW2XMyi5_kw","AZKi Channel",250000,147,10843258
20201204,"UC0WwEfE-jOM2rzjpdfhTzZA","愛園 愛美/Aizono Manami",127000,319,6293176
20201204,"UC0xhrAce06OkQfHBqAfLQAQ","奇想天外あにびっと!",46400,117,14897791
20201204,"UC1519-d1jzGiL1MPTxEdtSA","八重沢なとり / Yaezawa Natori",102000,464,14383219
20201204,"UC1CfXB_kRs3C-zaeTG3oGyg","Haachama Ch. 赤井はあと",813000,470,67997083
20201204,"UC1DCedRgGHBdm81E1llLhOQ","Pekora Ch. 兎田ぺこら",995000,291,79257610
20201204,"UC1opHUrw8rvnsadT-iGp7Cg","Aqua Ch. 湊あくあ",877000,222,65226946
20201204,"UC1QgXt46-GEvtNjEC1paHnw","グウェル・オス・ガール / Gwelu Os Gar 【にじさんじ】",128000,185,16840239
20201204,"UC1suqwovbL1kzsoaZgFZLKg","Choco Ch. 癒月ちょこ",421000,166,7270036
20201204,"UC1uv2Oq6kNxgATlCiez59hw","Towa Ch. 常闇トワ",368000,239,14654498
20201204,"UC1zFJrfEKvCixhsjNSb1toQ","シスター・クレア -SisterClaire-",302000,1555,33111377
20201204,"UC1ZV7KBscK0EMoJKFu1DnDg","눈보라 / Bora Nun 【NIJISANJI KR】",60500,99,3053120
20201204,"UC2hc-00y-MSR6eYA4eQ4tjQ","Rene Channel / 龍ヶ崎リン 【シュガリリ】",33500,236,2059711
20201204,"UC2kyQhzGOB-JPgcQX9OMgEw","Ichika Channel / 宗谷 いちか 【あにまーれ】",72000,421,5880991
20201204,"UC2OacIzd2UxGHRGhdHl1Rhw","早瀬 走 / Hayase Sou【にじさんじ所属】",131000,298,10111168
20201204,"UC2qHAqJrfFKgqBpnFV1NnGg","四ノ宮透華",1760,2,6296
20201204,"UC3EhsuKdEkI99TWZwZgWutg","Uge Channel / 杏戸ゆげ 【ブイアパ】",89400,510,8141055
20201204,"UC3lNFeJiTq6L3UWoz4g1e-A","卯月コウ",139000,363,18650044
